[2025-05-15T21:48:28.273Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T21:48:28.275Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T21:48:28.275Z] Iniciando servidor Kassadin Store...
[2025-05-15T21:48:28.276Z] Iniciando servidor Kassadin Store...
[2025-05-15T21:48:42.529Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T21:48:42.531Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T21:48:42.533Z] Iniciando servidor Kassadin Store...
[2025-05-15T21:48:42.533Z] Iniciando servidor Kassadin Store...
[2025-05-15T21:49:33.058Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T21:49:33.060Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T21:49:33.061Z] Iniciando servidor Kassadin Store...
[2025-05-15T21:49:33.061Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:12:52.772Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:12:52.774Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:12:52.775Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:12:52.775Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:13:15.775Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:13:15.776Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:13:15.777Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:13:15.777Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:13:22.380Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:13:22.381Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:13:22.382Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:13:22.383Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:53:33.008Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:53:33.010Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:53:33.011Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:53:33.011Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:54:05.742Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:54:05.744Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T22:54:05.745Z] Iniciando servidor Kassadin Store...
[2025-05-15T22:54:05.746Z] Iniciando servidor Kassadin Store...
[2025-05-15T23:03:12.847Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T23:03:12.848Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T23:03:12.849Z] Iniciando servidor Kassadin Store...
[2025-05-15T23:03:12.849Z] Iniciando servidor Kassadin Store...
[2025-05-15T23:05:55.767Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T23:05:55.768Z] Console logger override activado - Todos los logs se guardarán en archivos
[2025-05-15T23:05:55.769Z] Iniciando servidor Kassadin Store...
[2025-05-15T23:05:55.770Z] Iniciando servidor Kassadin Store...
[2025-05-15T23:05:56.131Z] Servicio WebSocket inicializado
[2025-05-15T23:05:56.136Z] Servidor ejecutándose en modo development en el puerto 3000
[2025-05-15T23:05:56.136Z] Servidor ejecutándose en modo development en el puerto 3000
[2025-05-15T23:05:56.137Z] Directorio de logs: C:\Proyectos Profecionales\KassadinStore-main\lol-store-server\logs
[2025-05-15T23:05:56.137Z] Directorio de logs: C:\Proyectos Profecionales\KassadinStore-main\lol-store-server\logs
[2025-05-15T23:05:56.141Z] Iniciando actualización de iconos de campeones...
[2025-05-15T23:05:56.142Z] Iniciando actualización de iconos de campeones...
[2025-05-15T23:05:56.142Z] Iniciando actualización programada de iconos de campeones
[2025-05-15T23:05:56.145Z] Conectado a la base de datos
[2025-05-15T23:05:56.146Z] Iniciando scraping de iconos de campeones
[2025-05-15T23:05:56.146Z] Obteniendo la versión más reciente de Data Dragon
[2025-05-15T23:05:56.205Z] Conexión exitosa a la base de datos.
[2025-05-15T23:05:56.278Z] Versión más reciente de Data Dragon: 15.10.1
[2025-05-15T23:05:56.279Z] Obteniendo datos de campeones desde: https://ddragon.leagueoflegends.com/cdn/15.10.1/data/en_US/champion.json
[2025-05-15T23:05:56.304Z] Encontrados 170 campeones
[2025-05-15T23:05:56.305Z] Iniciando descarga de iconos de campeones
[2025-05-15T23:05:56.306Z] Omitiendo descarga de Aatrox, archivos ya existen
[2025-05-15T23:05:56.307Z] Omitiendo descarga de Ahri, archivos ya existen
[2025-05-15T23:05:56.308Z] Omitiendo descarga de Akali, archivos ya existen
[2025-05-15T23:05:56.310Z] Omitiendo descarga de Akshan, archivos ya existen
[2025-05-15T23:05:56.310Z] Omitiendo descarga de Alistar, archivos ya existen
[2025-05-15T23:05:56.311Z] Omitiendo descarga de Ambessa, archivos ya existen
[2025-05-15T23:05:56.312Z] Omitiendo descarga de Amumu, archivos ya existen
[2025-05-15T23:05:56.312Z] Omitiendo descarga de Anivia, archivos ya existen
[2025-05-15T23:05:56.313Z] Omitiendo descarga de Annie, archivos ya existen
[2025-05-15T23:05:56.314Z] Omitiendo descarga de Aphelios, archivos ya existen
[2025-05-15T23:05:56.314Z] Omitiendo descarga de Ashe, archivos ya existen
[2025-05-15T23:05:56.315Z] Omitiendo descarga de Aurelion Sol, archivos ya existen
[2025-05-15T23:05:56.316Z] Omitiendo descarga de Aurora, archivos ya existen
[2025-05-15T23:05:56.317Z] Omitiendo descarga de Azir, archivos ya existen
[2025-05-15T23:05:56.318Z] Omitiendo descarga de Bard, archivos ya existen
[2025-05-15T23:05:56.319Z] Omitiendo descarga de Bel'Veth, archivos ya existen
[2025-05-15T23:05:56.320Z] Omitiendo descarga de Blitzcrank, archivos ya existen
[2025-05-15T23:05:56.320Z] Omitiendo descarga de Brand, archivos ya existen
[2025-05-15T23:05:56.321Z] Omitiendo descarga de Braum, archivos ya existen
[2025-05-15T23:05:56.322Z] Omitiendo descarga de Briar, archivos ya existen
[2025-05-15T23:05:56.323Z] Omitiendo descarga de Caitlyn, archivos ya existen
[2025-05-15T23:05:56.324Z] Omitiendo descarga de Camille, archivos ya existen
[2025-05-15T23:05:56.325Z] Omitiendo descarga de Cassiopeia, archivos ya existen
[2025-05-15T23:05:56.326Z] Omitiendo descarga de Cho'Gath, archivos ya existen
[2025-05-15T23:05:56.326Z] Omitiendo descarga de Corki, archivos ya existen
[2025-05-15T23:05:56.327Z] Omitiendo descarga de Darius, archivos ya existen
[2025-05-15T23:05:56.327Z] Omitiendo descarga de Diana, archivos ya existen
[2025-05-15T23:05:56.328Z] Omitiendo descarga de Draven, archivos ya existen
[2025-05-15T23:05:56.329Z] Omitiendo descarga de Dr. Mundo, archivos ya existen
[2025-05-15T23:05:56.330Z] Omitiendo descarga de Ekko, archivos ya existen
[2025-05-15T23:05:56.331Z] Omitiendo descarga de Elise, archivos ya existen
[2025-05-15T23:05:56.332Z] Omitiendo descarga de Evelynn, archivos ya existen
[2025-05-15T23:05:56.332Z] Omitiendo descarga de Ezreal, archivos ya existen
[2025-05-15T23:05:56.333Z] Omitiendo descarga de Fiddlesticks, archivos ya existen
[2025-05-15T23:05:56.333Z] Omitiendo descarga de Fiora, archivos ya existen
[2025-05-15T23:05:56.334Z] Omitiendo descarga de Fizz, archivos ya existen
[2025-05-15T23:05:56.335Z] Omitiendo descarga de Galio, archivos ya existen
[2025-05-15T23:05:56.335Z] Omitiendo descarga de Gangplank, archivos ya existen
[2025-05-15T23:05:56.336Z] Omitiendo descarga de Garen, archivos ya existen
[2025-05-15T23:05:56.337Z] Omitiendo descarga de Gnar, archivos ya existen
[2025-05-15T23:05:56.338Z] Omitiendo descarga de Gragas, archivos ya existen
[2025-05-15T23:05:56.339Z] Omitiendo descarga de Graves, archivos ya existen
[2025-05-15T23:05:56.340Z] Omitiendo descarga de Gwen, archivos ya existen
[2025-05-15T23:05:56.340Z] Omitiendo descarga de Hecarim, archivos ya existen
[2025-05-15T23:05:56.341Z] Omitiendo descarga de Heimerdinger, archivos ya existen
[2025-05-15T23:05:56.342Z] Omitiendo descarga de Hwei, archivos ya existen
[2025-05-15T23:05:56.343Z] Omitiendo descarga de Illaoi, archivos ya existen
[2025-05-15T23:05:56.344Z] Omitiendo descarga de Irelia, archivos ya existen
[2025-05-15T23:05:56.345Z] Omitiendo descarga de Ivern, archivos ya existen
[2025-05-15T23:05:56.345Z] Omitiendo descarga de Janna, archivos ya existen
[2025-05-15T23:05:56.346Z] Omitiendo descarga de Jarvan IV, archivos ya existen
[2025-05-15T23:05:56.347Z] Omitiendo descarga de Jax, archivos ya existen
[2025-05-15T23:05:56.347Z] Omitiendo descarga de Jayce, archivos ya existen
[2025-05-15T23:05:56.348Z] Omitiendo descarga de Jhin, archivos ya existen
[2025-05-15T23:05:56.348Z] Omitiendo descarga de Jinx, archivos ya existen
